Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
19.09.2021 00:00:00,19.09.2021 00:15:00,43192,7968,14572,4519.599999999999,0,0,6.912000000000004,-127668.40000000001,269674.4000000001,21256.400000000005,0,9600,2112,19.09.2021
20.09.2021 00:00:00,20.09.2021 00:15:00,55628,7860,14648,58280.80000000002,0,0,6.912000000000004,24840.800000000007,285098.39999999997,53668.799999999996,0,9600,2112,20.09.2021
21.09.2021 00:00:00,21.09.2021 00:15:00,25356,9072,14816,38147.99999999999,0,0,6.912000000000004,21713.200000000004,292837.60000000015,42087.6,0,9600,2112,21.09.2021
22.09.2021 00:00:00,22.09.2021 00:15:00,97392,7120,14976,39359.19999999999,0,0,6.912000000000004,49929.6,267855.6,46509.99999999998,0,9600,2112,22.09.2021
23.09.2021 00:00:00,23.09.2021 00:15:00,51116,11452,14660,34202.79999999999,0,0,6.912000000000004,8579.600000000004,253998.40000000005,31843.2,0,9600,2112,23.09.2021
24.09.2021 00:00:00,24.09.2021 00:15:00,158500,9696,14896,95028.8,0,0,6.912000000000004,35146.000000000015,237695.60000000003,32561.99999999999,0,9600,2112,24.09.2021
25.09.2021 00:00:00,25.09.2021 00:15:00,23472,12224,14912,12964.399999999994,0,0,6.912000000000004,7710,238652.8000000001,31937.99999999999,0,9600,2112,25.09.2021
26.09.2021 00:00:00,26.09.2021 00:15:00,11836,12104,14716,1695.1999999999994,0,0,6.912000000000004,-90631.99999999999,228868.00000000003,29912.4,0,9600,2112,26.09.2021
27.09.2021 00:00:00,27.09.2021 00:15:00,19848,6284,14844,81194.79999999999,0,0,6.912000000000004,41074.40000000001,225320,39633.2,0,9600,2112,27.09.2021
28.09.2021 00:00:00,28.09.2021 00:15:00,60128,8148,14976,2388.0000000000014,0,0,6.912000000000004,85060.00000000001,256377.19999999998,43999.2,0,9600,2112,28.09.2021
29.09.2021 00:00:00,29.09.2021 00:15:00,17248,5480,14872,115886.80000000003,0,0,6.912000000000004,30648.40000000001,240268.39999999997,36010.000000000015,0,9600,2112,29.09.2021
30.09.2021 00:00:00,30.09.2021 00:15:00,52164,9176,14920,35698.399999999994,0,0,6.912000000000004,77463.59999999999,244839.2,40333.59999999999,0,9600,2112,30.09.2021
01.10.2021 00:00:00,01.10.2021 00:15:00,76428,10512,14268,30575.600000000013,0,0,6.912000000000004,25144.8,239300.80000000008,30394.8,0,9600,2112,01.10.2021
02.10.2021 00:00:00,02.10.2021 00:15:00,146348,10720,15308,11501.600000000019,0,0,6.912000000000004,-109576.4,222063.59999999998,21745.600000000002,0,9600,2112,02.10.2021
03.10.2021 00:00:00,03.10.2021 00:15:00,192792,10688,15308,1195.2000000000007,0,0,6.912000000000004,-105379.59999999996,210288.39999999994,29174.799999999996,0,9600,2112,03.10.2021
